site_id,date,year,kwh_elec,kwh_gas,avg_temp
S001,2025-01-01,2025,174.74,215.02,4.73
S002,2025-01-01,2025,116.47,341.47,0.70
S003,2025-01-01,2025,944.24,984.26,1.72
S004,2025-01-01,2025,168.49,430.39,-0.48
S005,2025-01-01,2025,149.79,263.89,0.06
S006,2025-01-01,2025,164.60,415.32,0.15
S007,2025-01-01,2025,869.09,772.93,2.85
S008,2025-01-01,2025,29.09,57.32,4.97
S009,2025-01-01,2025,123.03,218.78,2.50
S010,2025-01-01,2025,210.87,688.13,1.73
S011,2025-01-01,2025,946.14,795.02,1.92
S012,2025-01-01,2025,76.24,156.71,1.32
S013,2025-01-01,2025,53.69,96.84,0.69
S014,2025-01-01,2025,266.58,529.94,4.46
S015,2025-01-01,2025,610.63,817.99,-0.22
S016,2025-01-01,2025,50.26,109.65,2.61
S017,2025-01-01,2025,52.94,107.51,-0.67
S018,2025-01-01,2025,127.19,331.91,2.62
S019,2025-01-01,2025,1204.61,1307.15,0.25
S020,2025-01-01,2025,67.21,132.50,2.42
S021,2025-01-01,2025,120.37,161.67,4.72
S022,2025-01-01,2025,108.14,356.09,0.57
S023,2025-01-01,2025,754.51,540.72,4.46
S024,2025-01-01,2025,36.60,83.26,2.39
S025,2025-01-01,2025,195.46,269.23,4.94
S026,2025-01-01,2025,81.68,261.73,0.76
S027,2025-01-01,2025,892.58,658.42,5.22
S028,2025-01-01,2025,0.00,0.00,1.51
S029,2025-01-01,2025,0.00,0.00,1.70
S030,2025-01-01,2025,0.00,0.00,4.62
S001,2025-01-02,2025,162.18,252.98,2.92
S002,2025-01-02,2025,99.92,253.45,4.88
S003,2025-01-02,2025,1000.19,1087.94,1.18
S004,2025-01-02,2025,188.40,330.40,3.22
S005,2025-01-02,2025,154.00,244.25,3.82
S006,2025-01-02,2025,148.57,405.55,1.43
S007,2025-01-02,2025,912.98,623.36,5.01
S008,2025-01-02,2025,31.20,59.32,3.69
S009,2025-01-02,2025,117.15,184.58,3.00
S010,2025-01-02,2025,220.83,645.19,3.06
S011,2025-01-02,2025,814.08,760.53,2.90
S012,2025-01-02,2025,67.97,176.68,0.68
S013,2025-01-02,2025,54.91,77.69,3.48
S014,2025-01-02,2025,257.54,715.24,0.86
S015,2025-01-02,2025,588.28,582.26,4.41
S016,2025-01-02,2025,50.59,99.73,4.15
S017,2025-01-02,2025,45.06,70.99,3.83
S018,2025-01-02,2025,128.71,376.14,0.90
S019,2025-01-02,2025,1077.37,1121.31,2.63
S020,2025-01-02,2025,73.28,135.44,2.66
S021,2025-01-02,2025,126.79,235.27,0.95
S022,2025-01-02,2025,112.16,309.05,3.23
S023,2025-01-02,2025,756.35,622.54,3.74
S024,2025-01-02,2025,42.46,86.59,2.61
S025,2025-01-02,2025,183.16,341.09,-0.12
S026,2025-01-02,2025,83.78,207.94,4.96
S027,2025-01-02,2025,902.73,659.44,4.55
S028,2025-01-02,2025,0.00,0.00,-0.11
S029,2025-01-02,2025,0.00,0.00,4.81
S030,2025-01-02,2025,0.00,0.00,2.44
S001,2025-01-03,2025,159.00,259.79,2.20
S002,2025-01-03,2025,114.67,365.70,-0.06
S003,2025-01-03,2025,1026.77,871.87,2.36
S004,2025-01-03,2025,204.32,332.87,3.44
S005,2025-01-03,2025,132.92,273.55,0.80
S006,2025-01-03,2025,156.96,351.16,3.57
S007,2025-01-03,2025,721.32,800.84,0.78
S008,2025-01-03,2025,30.06,59.94,3.56
S009,2025-01-03,2025,128.86,254.71,0.27
S010,2025-01-03,2025,240.68,641.60,2.53
S011,2025-01-03,2025,792.44,793.65,4.32
S012,2025-01-03,2025,77.09,182.99,0.84
S013,2025-01-03,2025,49.26,87.75,2.07
S014,2025-01-03,2025,215.69,597.52,3.99
S015,2025-01-03,2025,606.19,687.02,0.94
S016,2025-01-03,2025,44.24,120.20,0.87
S017,2025-01-03,2025,46.79,83.25,2.57
S018,2025-01-03,2025,110.93,402.30,0.56
S019,2025-01-03,2025,1192.66,1193.85,-0.01
S020,2025-01-03,2025,77.14,163.03,-0.71
S021,2025-01-03,2025,134.43,224.39,0.47
S022,2025-01-03,2025,119.79,254.53,4.18
S023,2025-01-03,2025,620.87,708.98,-0.31
S024,2025-01-03,2025,40.40,101.98,0.53
S025,2025-01-03,2025,161.58,296.21,2.76
S026,2025-01-03,2025,88.72,259.69,0.47
S027,2025-01-03,2025,757.42,757.89,3.29
S028,2025-01-03,2025,0.00,0.00,3.06
S029,2025-01-03,2025,0.00,0.00,0.00
S030,2025-01-03,2025,0.00,0.00,2.71
S001,2025-01-04,2025,95.56,174.72,1.70
S002,2025-01-04,2025,69.50,172.08,2.54
S003,2025-01-04,2025,564.65,690.59,0.50
S004,2025-01-04,2025,114.35,266.95,0.15
S005,2025-01-04,2025,83.54,170.23,-0.59
S006,2025-01-04,2025,84.95,298.55,-0.08
S007,2025-01-04,2025,482.58,457.21,4.14
S008,2025-01-04,2025,19.74,39.96,2.60
S009,2025-01-04,2025,84.09,138.24,1.70
S010,2025-01-04,2025,157.04,405.79,1.59
S011,2025-01-04,2025,516.59,508.43,4.13
S012,2025-01-04,2025,47.45,85.88,4.24
S013,2025-01-04,2025,29.23,59.05,-0.17
S014,2025-01-04,2025,160.68,445.75,-0.31
S015,2025-01-04,2025,439.84,400.28,3.60
S016,2025-01-04,2025,34.13,68.45,1.11
S017,2025-01-04,2025,32.80,45.47,4.66
S018,2025-01-04,2025,68.73,239.04,0.48
S019,2025-01-04,2025,681.87,720.45,2.41
S020,2025-01-04,2025,47.97,94.64,2.99
S021,2025-01-04,2025,78.49,132.89,0.72
S022,2025-01-04,2025,75.61,164.96,4.86
S023,2025-01-04,2025,423.51,528.04,-0.48
S024,2025-01-04,2025,22.73,52.06,3.07
S025,2025-01-04,2025,101.07,209.40,0.50
S026,2025-01-04,2025,51.68,115.91,4.19
S027,2025-01-04,2025,561.54,515.71,3.80
S028,2025-01-04,2025,0.00,0.00,0.36
S029,2025-01-04,2025,0.00,0.00,4.51
S030,2025-01-04,2025,0.00,0.00,3.08
S001,2025-01-05,2025,111.43,166.50,1.80
S002,2025-01-05,2025,61.36,193.19,1.05
S003,2025-01-05,2025,581.28,591.78,2.15
S004,2025-01-05,2025,109.55,235.60,3.96
S005,2025-01-05,2025,94.43,171.04,0.79
S006,2025-01-05,2025,99.08,272.58,-0.28
S007,2025-01-05,2025,514.07,489.98,1.82
S008,2025-01-05,2025,19.30,50.36,0.14
S009,2025-01-05,2025,78.94,133.77,3.20
S010,2025-01-05,2025,137.67,441.56,-0.58
S011,2025-01-05,2025,498.79,466.73,3.97
S012,2025-01-05,2025,43.89,105.30,0.01
S013,2025-01-05,2025,34.09,59.14,0.99
S014,2025-01-05,2025,157.16,434.60,1.86
S015,2025-01-05,2025,379.69,399.74,2.28
S016,2025-01-05,2025,30.14,72.33,-0.28
S017,2025-01-05,2025,32.15,51.61,2.72
,,,,,
S019,2025-01-05,2025,671.43,757.24,1.35
S020,2025-01-05,2025,38.54,84.17,3.24
S021,2025-01-05,2025,77.87,115.57,4.61
S022,2025-01-05,2025,68.98,221.34,1.53
S023,2025-01-05,2025,408.92,399.03,4.24
S024,2025-01-05,2025,24.78,55.23,2.82
S025,2025-01-05,2025,97.41,199.13,0.44
S026,2025-01-05,2025,58.78,141.41,2.31
S027,2025-01-05,2025,533.86,438.44,3.64
S028,2025-01-05,2025,0.00,0.00,5.16
S029,2025-01-05,2025,0.00,0.00,0.56
S030,2025-01-05,2025,0.00,0.00,2.39
S001,2025-01-06,2025,179.64,300.38,1.14
S002,2025-01-06,2025,120.05,261.88,3.89
S003,2025-01-06,2025,931.23,825.77,3.20
S004,2025-01-06,2025,172.11,469.29,0.70
S005,2025-01-06,2025,131.74,269.16,1.87
S006,2025-01-06,2025,143.44,328.40,5.03
S007,2025-01-06,2025,912.02,965.95,0.74
S008,2025-01-06,2025,31.59,58.72,3.70
S009,2025-01-06,2025,119.82,227.09,1.54
S010,2025-01-06,2025,209.06,653.21,2.37
S011,2025-01-06,2025,916.56,947.81,-0.61
S012,2025-01-06,2025,65.37,174.58,1.44
S013,2025-01-06,2025,48.38,87.39,2.41
S014,2025-01-06,2025,261.42,728.38,-0.57
S015,2025-01-06,2025,619.32,638.92,2.22
S016,2025-01-06,2025,53.87,107.89,1.98
S017,2025-01-06,2025,51.76,83.69,2.29
S018,2025-01-06,2025,129.76,387.36,1.41
S019,2025-01-06,2025,997.92,1043.08,2.71
S020,2025-01-06,2025,66.09,161.94,1.76
S021,2025-01-06,2025,122.02,181.53,3.23
S022,2025-01-06,2025,115.42,322.94,1.28
S023,2025-01-06,2025,750.23,595.04,3.73
S024,2025-01-06,2025,36.29,78.22,2.70
S025,2025-01-06,2025,180.98,291.63,3.03
S026,2025-01-06,2025,89.64,270.59,-0.42
S027,2025-01-06,2025,865.55,893.98,-0.55
S028,2025-01-06,2025,0.00,0.00,-0.83
S029,2025-01-06,2025,0.00,0.00,0.16
S030,2025-01-06,2025,0.00,0.00,2.65
S001,2025-01-07,2025,161.85,325.11,1.40
S002,2025-01-07,2025,108.52,330.10,0.41
S003,2025-01-07,2025,916.32,796.70,3.96
S004,2025-01-07,2025,163.75,372.78,1.33
S005,2025-01-07,2025,157.21,231.26,3.00
S006,2025-01-07,2025,151.66,327.04,4.61
S007,2025-01-07,2025,900.98,879.48,2.41
S008,2025-01-07,2025,29.70,65.12,1.35
S009,2025-01-07,2025,133.56,180.35,4.25
S010,2025-01-07,2025,212.51,641.14,2.22
S011,2025-01-07,2025,898.35,933.39,1.79
S012,2025-01-07,2025,75.60,167.16,-0.09
S013,2025-01-07,2025,52.01,88.18,3.53
S014,2025-01-07,2025,236.26,631.06,2.66
S015,2025-01-07,2025,610.25,613.61,2.83
S016,2025-01-07,2025,52.69,123.66,0.92
S017,2025-01-07,2025,45.43,75.15,3.16
S018,2025-01-07,2025,111.73,298.56,4.17
S019,2025-01-07,2025,1089.72,1286.33,-0.06
S020,2025-01-07,2025,77.60,149.62,2.03
S021,2025-01-07,2025,133.71,185.86,2.88
S022,2025-01-07,2025,115.18,361.14,0.52
S023,2025-01-07,2025,636.00,556.89,3.70
S024,2025-01-07,2025,42.76,68.58,4.78
S025,2025-01-07,2025,189.30,260.56,3.11
S026,2025-01-07,2025,85.01,208.52,2.32
S027,2025-01-07,2025,859.66,799.10,1.87
S028,2025-01-07,2025,0.00,0.00,-0.82
S029,2025-01-07,2025,0.00,0.00,4.15
S030,2025-01-07,2025,0.00,0.00,3.56
S001,2025-01-08,2025,168.25,284.94,2.01
S002,2025-01-08,2025,115.67,326.77,-0.40
S003,2025-01-08,2025,877.16,1045.32,0.35
S004,2025-01-08,2025,180.84,366.22,2.92
S005,2025-01-08,2025,148.17,279.71,0.86
S006,2025-01-08,2025,133.45,496.42,0.15
S007,2025-01-08,2025,882.80,965.83,-0.27
S008,2025-01-08,2025,29.48,75.70,-0.26
S009,2025-01-08,2025,118.34,236.21,1.53
S010,2025-01-08,2025,223.14,662.83,2.44
S011,2025-01-08,2025,762.92,649.34,4.88
S012,2025-01-08,2025,invalid,177.72,0.50
S013,2025-01-08,2025,52.80,75.22,4.59
S014,2025-01-08,2025,219.52,708.53,0.61
S015,2025-01-08,2025,633.97,583.39,3.03
S016,2025-01-08,2025,44.52,104.20,0.85
S017,2025-01-08,2025,45.05,75.35,2.40
S018,2025-01-08,2025,132.78,379.23,0.44
S019,2025-01-08,2025,973.49,884.89,4.27
S020,2025-01-08,2025,77.33,139.28,2.86
S021,2025-01-08,2025,117.76,218.76,2.04
S022,2025-01-08,2025,121.48,275.18,4.76
S023,2025-01-08,2025,737.86,821.28,0.55
S024,2025-01-08,2025,37.74,103.81,-0.81
S025,2025-01-08,2025,172.00,246.13,4.32
S026,2025-01-08,2025,77.46,286.84,-0.85
S027,2025-01-08,2025,838.12,738.69,3.40
