site_id,date,year,kwh_elec,kwh_gas,avg_temp
S001,2025-12-31,2025,145.60,325.58,0.74
S002,2025-12-31,2025,102.49,284.94,2.72
S003,2025-12-31,2025,1056.37,879.24,2.69
S004,2025-12-31,2025,176.47,431.31,1.70
S005,2025-12-31,2025,133.14,269.00,0.67
S006,2025-12-31,2025,150.04,319.64,4.90
S007,2025-12-31,2025,819.49,875.47,-0.01
S008,2025-12-31,2025,30.04,73.29,0.04
S009,2025-12-31,2025,121.51,201.91,1.32
S010,2025-12-31,2025,211.23,665.72,0.19
S011,2025-12-31,2025,820.75,747.31,3.16
S012,2025-12-31,2025,70.70,133.77,4.83
S013,2025-12-31,2025,48.25,75.17,4.29
S014,2025-12-31,2025,227.42,638.30,1.71
S015,2025-12-31,2025,594.02,655.12,2.39
S016,2025-12-31,2025,53.01,96.07,4.66
S017,2025-12-31,2025,53.85,85.54,1.32
S018,2025-12-31,2025,125.51,289.54,4.18
S019,2025-12-31,2025,1063.17,847.97,5.11
S020,2025-12-31,2025,69.91,146.20,0.74
S021,2025-12-31,2025,127.82,176.88,5.11
S022,2025-12-31,2025,123.17,272.95,4.11
S023,2025-12-31,2025,707.24,697.72,1.80
S024,2025-12-31,2025,36.01,87.98,2.34
S025,2025-12-31,2025,184.18,325.37,0.20
S026,2025-12-31,2025,91.06,217.13,2.36
S027,2025-12-31,2025,747.81,899.72,2.30
S028,2025-12-31,2025,138.45,237.49,2.40
S029,2025-12-31,2025,49.62,117.30,-0.37
S030,2025-12-31,2025,25420.50,10090.86,3.65
