site_id,site_name,region,activity,area_m2,opening_date
S001,Contoso site 01,Île-de-France,office,2984,2013-02-01
S002,Contoso site 02,Auvergne-Rhône-Alpes,warehouse,3114,2014-03-01
S003,Contoso site 03,Hauts-de-France,factory,10035,2015-04-01
S004,Contoso site 04,Nouvelle-Aquitaine,branch,4130,2016-05-01
S005,Contoso site 05,Occitanie,office,2656,2017-06-01
S006,Contoso site 06,Bretagne,warehouse,4227,2018-07-01
S007,Contoso site 07,Île-de-France,factory,8601,2019-08-01
S008,Contoso site 08,Auvergne-Rhône-Alpes,branch,701,2020-09-01
S009,Contoso site 09,Hauts-de-France,office,2220,2021-10-01
S010,Contoso site 10,Nouvelle-Aquitaine,warehouse,6714,2022-11-01
S011,Contoso site 11,Occitanie,factory,9099,2023-12-01
S012,Contoso site 12,Bretagne,branch,1650,2012-01-01
S013,Contoso site 13,Île-de-France,office,969,2013-02-01
S014,Contoso site 14,Auvergne-Rhône-Alpes,warehouse,6801,2014-03-01
S015,Contoso site 15,Hauts-de-France,factory,7023,2015-04-01
S016,Contoso site 16,Nouvelle-Aquitaine,branch,1100,2016-05-01
S017,Contoso site 17,Occitanie,office,877,2017-06-01
S018,Contoso site 18,Bretagne,warehouse,3558,2018-07-01
S019,Contoso site 19,Île-de-France,factory,11526,2019-08-01
S020,Contoso site 20,Auvergne-Rhône-Alpes,branch,1566,2020-09-01
S021,Contoso site 21,Hauts-de-France,office,2238,2021-10-01
S022,Contoso site 22,Nouvelle-Aquitaine,warehouse,3318,2022-11-01
S023,Contoso site 23,Occitanie,factory,7155,2023-12-01
S024,Contoso site 24,Bretagne,branch,901,2012-01-01
S025,Contoso site 25,Île-de-France,office,3208,2013-02-01
S026,Contoso site 26,Auvergne-Rhône-Alpes,warehouse,2442,2014-03-01
S027,Contoso site 27,Hauts-de-France,factory,8904,2015-04-01
S028,Contoso site 28,Nouvelle-Aquitaine,branch,2789,2025-03-15
S029,Contoso site 29,Occitanie,office,973,2025-07-01
S030,Contoso site 30,Bretagne,warehouse,11670,2025-10-01
